,ID,Comment
0,최은석,예전엔내가소리질렀어야사람들이내말들었었지만~???:아아아아아아아아아!!!
1,검은양,쇼미국룰:세미파이널이가장좋음
2,이재우,실눈캐친구탈락이전까지우승후보취급도안해줌좋은조력자과거의시련혼자버프다먹었네
3,제네더소리질러,지구인1차탈락해서복수하러현장지원해서우승까지해버린그상남자맞나요?ㅋㅋㅋ
4,이워,이무대가완벽한이유미친비트+행주의미친벌스+지코의미친훅+돈까스의미친더블링이걸ㅅㅂ어케이겨
5,황진영,누가스윙스몸무게때문에리프트빨리못올라온다했는데
6,김정훈,이번엔스윙스가세미파이널가서행주가피처링해주면개지리겠네
7,AngelMoon,2:37이발차기는진짜카메라의각도부터모든게완벽했음..
8,딱다구리,개인적으로쇼미더머니역사상다섯손가락안에드는최고의무대라고생각함.
9,누가,"3:04예전엔소리질러야만사람들이내말들었었지만,,,3:19으아ㅏㅏㅏ어ㅏㅏㅏㄱ"
10,귤,"동료의1차광탈로홧김에현장지원,양쪽어깨에짊어진리듬파워팀의명예와책임감,1차탈락의스트레스로스스로를채찍질하다가실명위기,이러한모든것들이종합해서간절하다못해절박하고독기가가득차내일이없어보이는노빠꾸에서나오는공포스러움,하지만동시에모든것들이한번에무너질까봐겁을내는두려움까지이런행주의스토리가이무대에다담겼음.그래서사람들이환호를보내기보단되려소름이돋아서벙찌는모먼트가많았음..."
11,박지우,"진짜스윙스가피쳐링의정석을보여줌이무대에서엄청잘했는데기억에남는건스윙스가아니라행주였음더블링도개찰졌고분위기야뭐스윙스전문분야고저스디스,블랙넛한테피쳐링하는법좀알려줘라맨날곡뺐어걔네는"
12,DHK,지코딘이걍할수있는걸모조리다때려박은무대인듯.볼때마다소름돋는다.
13,ᄋᄋᄋᄋ,3:33여기부터스윙스더블링존나찰지다씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ힙합계거물급의더블링은달라도너무다르네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
14,끼룩,원래실눈캐가제일쌤
15,이승대,2020년11월이후출석따봉~아직도찾아오는사람있나?ㅋ
16,sgh,"역대쇼미시즌중에가장완벽한프로듀서지코,딘그립습니다..."
17,성이름,1:10ㄹㅇ소름..뤳썬뒹뒹뒹뒹비트진짜미쳤어
18,김소혜,와근데스윙스가진짜무대도많이해봤다보니까스킬이나분위기띄우는게ㄹㅇ이네..스윙스다시봤따.역시짬무시못함
19,곤김민,행주가문최소17대까지는우려먹을수있는레전드무대
20,이민준,2:58팔기전냉장고에넣어둔삼겹살
21,어몽어스,20209월29일이후출석체크합니다9월이후에오시는분은출석바랍니다.
22,고양이들지구뿌셔,나:이제자야지유튜브:행주레드썬기억나냐??
23,멀봐,쇼미3대무대끝판왕비와이데이데이수퍼비수퍼비와행주레드썬
24,리또RITTO,내가행주였으면썸네일오년동안프사해놓는다..
25,최용,사실상이노래때문에우승했다..쇼미6에서이게젤좋았음..
26,저기요,지코는쇼미하면서몇개의명곡을남기고가는거임..?
27,올에프,개코입벌리고감탄하는거진짜레전드지난지금껏레퍼무대중에레드썬이압권적으로내맘속에1위라생각함아직도그틀을깨는레퍼는나오질않아ㅠ간만에곡예사가심금을울리긴했어
28,키드밀리,이건비트도비트지만무대구성이ㄹㅇ미쳤다
29,KieDboy,201912일2일이후출석체크합니다.12월이후에오시는분은출석바랍니다.
30,드롱달,1:48틀에박힌편견을바꿀드라마틱한곡을써<<이곡최고의킬링파트이지않나
31,중독자,진짜랩도랩이지만연출미쳤어연출누구임?;;;
32,이승환,여기서가산점많이붙어서돌리고로도우승함ㅋ레알역대급무대중하나
33,ValerieLedger,"Theaudiodoesnotmakethissongjustice.Whenyouhearitlive,thesilencebeforethebasshitsyouandhesaysredsunisjustincredible....notsurprisedthateveryoneisspeechless"
34,조성민,진짜개인기량은맴버가다들개씹오지는데..왜뭉치면ㅋㅋㅋㅋ세얼간이냐곸ㅋㅋㅋ
35,ᄋᄋ,3:35여기서부턴진짜볼때마다스윙스가미침..더블링ㅈㄴ잘해주고특히3:43여기선영어로개소리지껄이면서분위기계속유지해주고이부분은스윙스없었으면어쩔뻔했냐ㄹㅇ스윙스만할수있다...음원에이부분없어서ㅈㄴ심심함
36,백진호,2:56ㅋㅋㅋㅋㅋ포즈잡다가앞부분놓친게개웃기네
37,장국희,처음이자마지막으로행주잘생겨보인날........
38,뭐로하지이름을,5:41도끼벽치는소리들리는거개웃기네ㅋㅋㄱ
39,이찬혁,개인적으로스윙스가오래안하고분위기만오지게잘띄워준거같아서ㅅㅌㅊ인듯길게했으면이상했을텐데딱나와서소리지를때개신남
40,진태림,저땐뭔가했는데백댄서들어몽하고있었네
41,SarahM.,Istilldon'tknowwhatIlovemore.HangzoosperformanceorDok2reaction.🤣
42,myouigaz,"GaekoBeLike:""wowlookmybrokillinit""Choiza:""whyyouhavetososerious?"""
43,아ᄏ,1:48여러분들이원하는거
44,Mincho,지금봐도이비트만든지코는미쳤다ㅋㅋㅋㅋㅋ저뒤에최면화하는무대까지프로듀싱한거보면진짜천재가괜히천재가아니네
45,동이,와아니레드썬처음에딱할때무슨딘표정존나쎅시하네시발ㅋㅋㅋㅋ
46,짧스,"""레드썬""시작할때최면걸린듯가만있다가""미쳐가는거야다""에서마이크뽑고날뛰는거진짜개멋있네....."
47,DavidHwang,진심비트미쳤다........
48,YouCan'tHandleFanxyChild,Season6stillremainsastheseasonwithmosticonicsongseverythingwassocoolandDopeAF
49,장재형,설마지금도있겠어?20.08.05일오후11시35분
50,최우성,딘입벌리는거볼땨마다나도괜히소름돋음..
51,탑신병자,아직보는놈있냐.......
52,귀여운사진으로구독자75명찍기,나민아직와..?요즘다들어디갔어....????????????
53,ᄋᄋ,스윙스형이영어로뭐라씨부린진몰라도흥분한거보니무대전돈까스를먹고온것같다
