,ID,Comment
0,게임왕김토끼,살짝설레기는무슨난존나설렜다하.....또나만진심이었지
1,YunsieChung,이그룹랩퍼가엄청난데???
2,skejwkd,지호라는친구는진짜눈이정말센듯ㅋㄱㅋㄱ얼굴은정말예쁜데눈이진짜호랑이정도로용맹함ㄷㄷㅋㄱㅋ
3,샤넬,이번곡은진짜미미없으면안된다는생각들정도로ㄹㅇ하드캐리함
4,혜인,와여긴랩퍼가진짜랩을잘하고랩메이킹도잘해서노래가지루하지가않네
5,김지호대천재,하이정도면노래제목을‘심장을조지고부시고뚜드려팼어’로바꿔야되는거아니야??세상사람들이옴걸멋있고예쁘고사랑스럽고귀엽고다하는거알아야되는데ㅠㅠㅜㅠ
6,뉴뜨로쥐나딉끌렌즹,최애를못고르겠는그룹은처음이다죄짓는기분이야
7,삐용삐용님의24번째머리카락,이쯤되면승희언니머리카락은알아서핑크색으로자라야한다진짜승희언니ㄹㅇ리즈찍음+우왕좋아요98개ㄱㅅ계속눌러줘요
8,창순,ㄹㅇ다른대부분의아이돌은랩이쉬어가는파트같은느낌인데여기는랩까지조져버리네ㄷㄷ
9,이수연,김미현ㄹㅇ로미쳤나..언니나살짝이어니라개많이설렜는데?난진짜김미현미쳤다고생각함.아니그냥저렇게멋져도되는일?완전내이상형임목소리는왜이렇게섹시함?하진짜...언니사랑해요
10,동그라미,지금봐도노래쥰니잘뽑았다퀸덤이후대박터질라면쎈걸하나던져야하는데오마이걸특유의몽환컨셉을유지하기에는변화가필요하고또그렇다고갑자기다크다크섹시했다가는무모한도전이될수있는데그중간의통통튀는오마이걸만의색깔을보여줄수있는존나설레는이노래를만들다니오마이걸이제위로향할일밖에안남았다정상으로가자우~~~
11,0니얼굴,미미머리는알아서눈치있게보라으로자라라
12,오채린,2:14미미언니목소리변하는것좀봐ㄹㄱㄴ
13,어흥.,1:58죠언니엠카살짝설렜어눈크게뜬부분이진짜킬폰데ㅠㅠㅠ잘렸엉이우우ㅜㅜㅗㅠㅠ
14,껀빵,뭔가소녀시대에이핑크를뒤이어장수그룹이될듯팬사랑도엄청나고그룹사이도너무좋아보임
15,황의연,랩나오는타이밍진짜개좋네ㅋㅋㅋ
16,오무지알수없는밤,난오마이걸이좋은이유가뭐나면노래도좋은데인간비타민같음....무대할때항상잘웃어주잖아어떤아이돌들은억지로웃어서티나는데옴걸은진짜로행복해서웃는것같음....미미언니랩좀보소....하아...ㅠㅠ
17,아이언,큐피드:승희클로저:유아윈디데이:효정내얘들:아린불꽃놀이:비니번지:지호살설:미미
18,녕아,미미유일하게들어본적별로없는멤번데음색이미쳤네...얘가이노래살린느낌..파트많았으면좋겠다ㅜㅜ
19,SeungJ,김미미...확실히여유롭게무대잘근잘근씹어먹어버리는구나...저스웩저미모어쩔거야..
20,블즈임이요,미미님의랩이뭔가중독성이있어서계속보게된다...3개월만에봤는데좋아요176개감사합니다ㅠㅠ
21,플라워돼지,오마이걸은앨범낼때마다성장하는거같다..다른걸그룹팬인데..이런부분진짜부럽다ㅠ
22,민짱,살짝설렜어멤버별부분유아1:02아린1:10미미1:17비니1:25지호1:58승희2:45효정2:54
23,안녕하세요,오아미미언니랩을넘잘하시네유..
24,쌈아치.,아무리생각해도오마이걸은선녀나라에서놀다가실수로구름잘못밟다가넘어져서인간계에떨어진게분명해진짜그러니까세상안전한우리집은어떤지
25,김감자,"우와옴걸교차편집조회수가400만대라니ㅜㅜㅜㅜ진짜감격스럽다...어흑..........나혼자봐서몇만회밖에안됐던시기가있었는데ㅜㅜ물론만회도많은조회수지만이렇게사람들의관심과칭찬을듬뿍받으니클로저팬으로서감격스럽고행벅하네유,,,우리언니들즐기고대성하자!!!!!!!!!!!😭😭😭"
26,김주연,근데진짜이번에다들머리색깔이나스타일링그런거다잘어울리는듯...ㅠㅜ특히승희미미머리가찰떡보라머리가어떻게저렇게잘어울려..
27,Hyeong.z,이노래는미미가맛있게만드네미미목소리귀에너무잘들어온다좋다~
28,현승희건드리면다조짐,0:05김지호진짜너무예뻐청순해진짜ㅠㅠ
29,JubileCherry,"근데조명에따라서다약간씩다르게생긴거같당약간몽환적이었다가,꽃의요정같다가,진짜푸른바다?몰디브같은곳에서하늘하늘춤추는거같기도하고,아침에뜬구름으로소풍가는거같기도하고몰라오마이걸하고싶은거다해ㅠㅠ"
30,송은율,2:10와..아기고양이같애ㅜㅜ씅희너무귀엽자너(ू˃̣̣̣̣̣̣︿˂̣̣̣̣̣̣ू)
31,귀요미,살짝설랬어:×조금설랬어:x많이설랬어:o겁나게설랬어:o엄청많이설랬어:o
32,러브엔젤,내생각엔이번노래메이크업찰떡은미미랑비니인거같다진짜찰떡임
33,이예원,이걸로미미라는사람을알게되었음...내배경사진은미미가되었음..시작은미미하지만끝도미미하다....☆
34,_당근,배보이는옷입고단발머리여자분소녀의세계웹드라마에나리역할로나오신분아닌가?!?
35,수수께끼TV검색ᄀ,아니.....미라클은개설래ㅠㅠㅠㅠㅠ최효정(효정)현승희(승희)배유빈(비니)최예원(아린)김미현(미미)김지호(지호)유시아(유아)개사랑해ㅠㅠㅠㅠ
36,이한솔,"유아,승희,미미,비니잘해요목소리고급이렇게나가둬오디션일등각여러분의새각은요?"
37,PetangsKim,처음타이틀뜰때작사옆에MIMI(OHMYGIRL)이라고뜨는그순간그렇게미라클뽕이차오를수가없더라!!!오마이걸모든노래의랩메이킹을담당하는미미...아니작사가김미현님이있기에오늘도미라클이어서행복합니다!!!
38,Cherry_-,솔직히이노래쨍쨍한여름되서나왔으면개히트쳤을듯노래자체가쉬원하고몽환적임암튼아린언니같은흔한얼굴인듯아닌듯한얼굴진짜순하고너무이뻐
39,하연하연,아니진짜내가본아이돌중에서제일이쁘고귀엽고사랑스럽고상큼하고춤도잘추고노래도잘하네제목을'살짝설렜어'이거말고'심장폭행'이라고해야돼는것같따아아아
40,Arjunrai,WowlikethesongIloveyouohmygirl
41,MunkhtulgaSod-Erdene,Arinkeepsongettinglovelyeverytimesheappearsonmusicbank
42,어퍼나이트,이렇게랩잘하는아이돌그룹래퍼첨봄
43,델미이지금,계속보컬이어서지루하다싶으면미미가똭!파트분배하신분진짜....미쳤....ㄷr1.5천뭐임ㅠㅜ감사합니다🥰(오마이걸개흥해라~!!!!
44,happykyjö,아이돌한테는별로관심없는사람인데오마이걸존나좋다어떡하지시험기간인데;;
45,선잉,아니왜아무도미미이야기는안해!!보라머리캡인딩!!
46,YOOA,나심장마비옴.....아린넘귀엽자너.....하.......진짜.......두근거리다못해멈춤........하라하ㅏ하하하ㅏㅎ하ㅏ하하하하하하
47,이나래,봄🌸-CLOSER🍀소나기☔다섯번째계절여름☀-BUNGEE🏖내얘길들어봐👂WINDYDAY🌬불꽃놀이🎇살짝설렜어😍💕Dolphin🌊🐬가을🍂-한발짝두발짝👣트와일라잇👻🎃Destiny🔮겨울❄-비밀정원🌌
48,한예설,아린이가장발일때만여신이라생각했던내생각은큰오산이였다....단발일때도여신이면내심장은어쩌라는거...나왜흐뭇하게보고있니....
49,이밤,이그룹은팬아니여도내마음속에한번쯤있던첫사랑그룹느낌이고약간본업은따로있지만매력때문에못빠져나오는만인의차애그룹
50,*승아,"""살짝설렜어""NO""많이설렜어""Yes"
51,eeQ,오마이걸은각자개성이다톡톡튀어서더끌리는듯너무좋다ㅠㅠ
52,이수빈,2분48초47초에비니진짜예쁘다...비니원래예쁜건알지만진짜예쁘다...
53,여누찡,승희최고!!승희팬들은여기로!!난완전승희한테심쿵❤️0:470:51목소리넘좋아ㅎㅎ1:27으앙넘귀엽자나~1:431:47표정대박ㄷㄷ2:44나도살짝(사실은많이)설렜어~승희귀엽구목소리도좋고내마음을흔든다><이거사용하신후에는이댓글에좋아요누르고댓글도달고가주세염~~^^
54,퐁순이,지호언니비주얼미쳣어대박이야..
55,시연,오마이걸노래진짜너무너무잘뽑는다클로저랑한발짝두발짝이랑비밀정원ㄹㅇ레전든데ㅠㅠ
56,지예변지예,오마이걸사랑한는사람👇
57,비까리.,승희머리카락은눈치있게알아서분홍색으로자라라+하눈치가없네🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️
58,김민지,미미아린승희가내마음속의top3
59,동그리,옴걸노래중이곡에서만큼은미미가주인공같이느껴지네요ㅎㅎ
60,이지연,💗LOOV💗
61,도파,1:18설렌표정이왜그러냐곸ㅋㅋㅋㅋㅋ
62,세빛,김미현진짜대박이지않냐.내가보라색머리하면그냥자색고구마껍질이다.
63,수많은캐럿들중1인,0:46부터1:03까지내최애부분
64,솔직히약간진짜,아니아린이외모물올랐음...비밀정원때도존예였는데이번살짝설렜어때완전포텐터짐...흐극ㅠㅠㅠㅠㅠㅠ
65,MunkhtulgaSod-Erdene,Musicbank’snewMCmaknaeArin❤️
66,오마이걸아이들,다시봐도진짜...2020년걸그룹노래중가장완벽한노래완벽하다미미님랩파트는진짜ㅋㅋㅋ얼척없을정도로완벽하네
67,갱갱,난미미파트에살짝많이설레더라.
68,실버_silver,개인적으로오마이걸노래중다좋지만살짝설렜어앨범이좋음(개인적으로)
