,ID,Comment
0,GoodMan,AmorFati=LoveFate=(자신의)운명을사랑하라.
1,장희지,자신에게실망하지마모든걸잘할순없어...고3인데이가사듣고울컥함
2,LSNk,겉으로척듣기엔뽕짝트로트인데자세히뜯어보면EDM이랑곡전개가똑같음ㅋㅋㅋㅋㅋ어쩐지끌리더라
3,사필귀정,"진짜몇십년만에""시대감각""을살린트롯트같은트롯트가나왔네요"
4,이진욱,이거진짜대한민국대히트곡이닼ㅋ
5,무사트인스트럭터,뽕짝이아니다.코리안트랜스하우스다
6,쿠키아빠,코로나시대에그나마위로가된곡이다하여튼대단한노래다
7,박시내,왜이거들으니까서글퍼지거지...참...너무힘들다보니가사도날울리네...
8,들나만tv,"0:44여기부터민머리대머리맨들맨들빡빡이가들린다,.."
9,StephanieHyun,이노래는한편의멋있는시다!!!
10,끄투최고,오늘도밤을새운다
11,김대열,"니이체의아모르파티,세상을적극적으로살며모든걸긍정적으로받아들이고살라는철학이있음을..그모든아픔을딛고재기한김연자!화이팅..."
12,김진,가사가너무와닿음ㅎㅎ
13,yache-bokkeummarlin,아빠차에서이노래처음들었을땐뭔가가느끼하고가사도쫌이상해서듣기싫었는데아빠가계속들으시니까계속듣다보니은근중독쩔었음
14,행복한산책,마음은울고몸은춤춘다ㅎ
15,gsn,"아모르파티(AmorFati)에서‘아모르(Amore)’는‘사랑’이라는뜻이다.‘파티’는‘파티(Party)’로오해할수있는데파티는‘Fate’즉운명을말한다.아모르파티는독일철학자프리드리히니체가주장한것으로운명에대한사랑,즉운명을사랑하라는뜻이다.-출처""국제신문"""
16,교과서박물관,환상적작사작곡노래~~
17,JieunP,"난왜이노래들을때마다흥이차오르는동시에슬플까,,겉은신나는노래처럼보여도진짜인생의진리를담은곡같음ㅠㅠㅠㅠㅠ김연자님꼐서노래부르시는데신나보이시면서도자신의화려했던청춘과슬픔을생각하시면서인생선배로서조언해주시는것같음ㅜㅜㅜㅜ"
18,코모노,저이거관현악부에서칩니다...
19,임금화,아~~모르파리~~!!!!!노래가넘좋음!!
20,희희뿌하트,저트로트하고싶은데이거먼저연습중!^^
21,이혜정,헐금나잘부름ㅋㅋㅋㅋㅋㅋㅋ
22,BradPyo,민머리대머리맨들맨들빡빡이
23,8Sin-Am,가사가너무좋다
24,귀인,오늘보다나은내일이면돼!~~인생은지금이야~이제는더이상슬픔이여안녕~가사들이대박이어요!김연자님이호소력짙게전달해주신아모르파튀!!
25,이새님,자꾸귓가에서맴돌아..
26,촤광숙,노래가너무나좋아아모르파티
27,한부리,탈모르파티내머릿속에서꺼져ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ가사아른거려ㅜㅜㅜㅜㅜ
28,rasor,가사에힐링이..
29,롤케익,아모르파티~~~~~~~
30,이승현석81,노래가좋아요
31,재현전,인생이힘들때들으면힘이나는노래
32,수박,헬로우봇타고들어왔습니다
33,DavidCrowley,"가사가맘에들고,트로트라도넘노티안나고적당히젊은감각스탈하고섞어서괘얀음..."
34,박나래,은근중독성있네ㅋㅋ
35,yom66i,이투스생명과학백호쌤강의듣다가온사람없나여강의킵해두고들으러왔습니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
36,최규학,가사가가슴에와닿네요^^
37,박지훈,민머리대머리맨들맨들빡빡이ㅋㅋㅋㅋㅋ
38,토이준혁준수,~아모르파티나이는숫자~~~!!
39,요고프렌치요고,"가사가아주,,,좋습니다,,,구구절절맞는말이군요,,,눈물이나네요,,,"
40,계성댁,앗싸좋쿠나~지화자!
41,JaeEunLee,아니이거가사랑멜로디은근웃기넼ㅋㅋㅋㅋㅋㅋ
42,Jay,아모르파티^^^
43,기린당나귀조랑말TV,왜이렇게웃기지?ㅋㅋ
44,ᄋᄋ,1:11
